filename,code,panel_type,is_horizontal,axis_range,floor,fill_color,center_x,center_y,top_y,min_x,max_x,min_y,max_y,width,height,path_d
Zone01,Zone01_GFRC_H39,Horizontal,True,7-8,1nd FLOOR,#87CEEB,2176.53395,1589.7195000000002,1548.7764,2054.3345,2298.7334,1548.7764,1630.6626,244.39890000000014,81.88620000000014,"M2298.7334,1548.7764 L2054.3345,1548.7764 L2054.3345,1630.6626 L2298.7334,1630.6626 z"
Zone01,Zone01_GFRC_H40,Horizontal,True,8-7,1nd FLOOR,#87CEEB,1930.87505,1589.7195000000002,1548.7764,1808.6754,2053.0747,1548.7764,1630.6626,244.39930000000004,81.88620000000014,"M2053.0747,1548.7764 L1808.6754,1548.7764 L1808.6754,1630.6626 L2053.0747,1630.6626 z"
Zone01,Zone01_GFRC_V33,Vertical,False,9-8,1nd FLOOR,#98FB98,1317.4836,1753.4920499999998,1631.9225,1276.5404,1358.4268,1631.9225,1875.0616,81.88639999999987,243.1391000000001,"M1276.5404,1631.9225 L1358.4268,1631.9225 L1358.4268,1875.0616 L1276.5404,1875.0616 z"
Zone01,Zone01_GFRC_V34,Vertical,False,9-8,1nd FLOOR,#98FB98,1235.0934499999998,1753.4920499999998,1631.9225,1194.9061,1275.2808,1631.9225,1875.0616,80.37470000000008,243.1391000000001,"M1194.9061,1875.0616 L1275.2808,1875.0616 L1275.2808,1631.9225 L1194.9061,1631.9225 z"
Zone01,Zone01_GFRC_V35,Vertical,False,9-8,1nd FLOOR,#98FB98,1153.4591500000001,1753.4920499999998,1631.9225,1113.2719,1193.6464,1631.9225,1875.0616,80.37450000000013,243.1391000000001,"M1113.2719,1631.9225 L1193.6464,1631.9225 L1193.6464,1875.0616 L1113.2719,1875.0616 z"
Zone01,Zone01_GFRC_V36,Vertical,False,10-9,1nd FLOOR,#98FB98,1071.06885,1753.4920499999998,1631.9225,1030.1257,1112.012,1631.9225,1875.0616,81.88629999999989,243.1391000000001,"M1112.012,1875.0616 L1030.1257,1875.0616 L1030.1257,1631.9225 L1112.012,1631.9225 z"
Zone01,Zone01_GFRC_V37,Vertical,False,8-7,1nd FLOOR,#98FB98,1807.2897,1753.4920499999998,1631.9225,1766.3466,1848.2328,1631.9225,1875.0616,81.88619999999992,243.1391000000001,"M1848.2328,1631.9225 L1766.3466,1631.9225 L1766.3466,1875.0616 L1848.2328,1875.0616 z"
Zone01,Zone01_GFRC_V38,Vertical,False,8-7,1nd FLOOR,#98FB98,1889.67995,1753.4920499999998,1631.9225,1849.4927,1929.8672,1631.9225,1875.0616,80.3744999999999,243.1391000000001,"M1929.8672,1875.0616 L1849.4927,1875.0616 L1849.4927,1631.9225 L1929.8672,1631.9225 z"
Zone01,Zone01_GFRC_V39,Vertical,False,8-7,1nd FLOOR,#98FB98,1971.31435,1753.4920499999998,1631.9225,1931.1271,2011.5016,1631.9225,1875.0616,80.37450000000013,243.1391000000001,"M2011.5016,1631.9225 L1931.1271,1631.9225 L1931.1271,1875.0616 L2011.5016,1875.0616 z"
Zone01,Zone01_GFRC_V40,Vertical,False,8-7,1nd FLOOR,#98FB98,2053.70455,1753.4920499999998,1631.9225,2012.7614,2094.6477,1631.9225,1875.0616,81.88629999999989,243.1391000000001,"M2012.7614,1875.0616 L2094.6477,1875.0616 L2094.6477,1631.9225 L2012.7614,1631.9225 z"
